File_size,Password_length,Execution_time
5242880,6,3302
52428800,6,31695
51200,6,354
20480,7,269
52428800,6,32217
5242880,6,3231
52428800,8,32639
5242880,8,3467
5242880,6,3723
5242880,6,5371
52428800,6,38158
5242880,4,3842
5242880,6,3415
52428800,6,35611
52428800,6,32998
5242880,6,3197
52428800,5,39345
5242880,7,11433
52428800,6,33421
52428800,6,32406
20480,7,7996
51200,6,96
52428800,6,68497
52428800,6,72256
20480,6,109
51200,6,134
52428800,7,29684
51200,6,100
51200,7,72
5242880,8,3216
5242880,6,2965
51200,6,270
51200,8,127
20480,6,60
52428800,7,34365
52428800,9,36904
20480,5,2093
20480,5,10808
52428800,7,36822
51200,4,9834
5242880,8,3468
52428800,5,59615
5242880,6,3713
51200,8,269
20480,6,56
20480,6,50
5242880,6,3577
